"","LOC_ID","latitude","longitude","Year","yard_type_pavement","yard_type_garden","yard_type_landsca","yard_type_woods","yard_type_desert","hab_dcid_woods","hab_evgr_woods","hab_mixed_woods","hab_orchard","hab_park","hab_water_fresh","hab_water_salt","hab_residential","hab_industrial","hab_agricultural","hab_desert_scrub","hab_young_woods","hab_swamp","hab_marsh","evgr_trees_atleast","evgr_shrbs_atleast","dcid_trees_atleast","dcid_shrbs_atleast","fru_trees_atleast","cacti_atleast","brsh_piles_atleast","water_srcs_atleast","bird_baths_atleast","nearby_feeders","squirrels","cats","dogs","humans","housing_density","fed_yr_round","fed_in_jan","fed_in_feb","fed_in_mar","fed_in_apr","fed_in_may","fed_in_jun","fed_in_jul","fed_in_aug","fed_in_sep","fed_in_oct","fed_in_nov","fed_in_dec","numfeeders_suet","numfeeders_ground","numfeeders_hanging","numfeeders_platfrm","numfeeders_humming","numfeeders_water","numfeeders_thistle","numfeeders_fruit","numfeeders_hopper","numfeeders_tube","numfeeders_other","population_atleast","count_area_size_sq_m_atleast","create_dt","supp_food"
"17","L10137666",36.0531482,-79.5294537,2021,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4,0,1,1,1,0,0,1,1,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,NA,NA,0,3,2,0,25001,100.01,"2020-12-24T14:12:20Z",NA
"18","L10137666",36.0531482,-79.5294537,2023,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4,4,1,1,1,0,1,1,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,1,NA,NA,0,1,3,0,25001,NA,"2022-12-12T10:01:36Z",1
"19","L10138796",35.9336127,-78.9193985,2023,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,1,0,0,0,1,0,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,NA,0,0,NA,NA,0,1,2,0,100001,NA,"2023-03-05T18:29:25Z",1
"20","L10138796",35.9336127,-78.9193985,2021,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,1,1,0,0,0,1,0,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,NA,NA,0,1,1,0,100001,1.01,"2020-12-20T19:24:59Z",NA
"21","L10138796",35.9336127,-78.9193985,2020,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,1,1,0,0,0,1,0,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,NA,NA,0,1,1,0,100001,1.01,"2019-11-10T19:00:29Z",NA
"22","L10138876",36.161733,-79.131061,2021,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,4,4,11,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,0,0,NA,NA,0,0,2,0,1,375.01,"2020-12-26T18:15:30Z",NA
"23","L10138876",36.161733,-79.131061,2020,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,4,4,11,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,0,0,NA,NA,0,0,2,0,1,375.01,"2019-11-10T19:24:58Z",NA
"24","L10138876",36.161733,-79.131061,2022,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,4,4,11,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,2,1,NA,0,0,NA,NA,0,0,2,0,1,NA,"2021-11-29T11:27:58Z",1
"25","L10138876",36.161733,-79.131061,2023,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,4,4,11,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,2,1,NA,0,0,NA,NA,0,2,0,0,1,NA,"2022-11-20T18:01:02Z",1
"26","L10139322",35.7575582,-81.3212676,2021,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,1,1,1,3,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,NA,0,0,NA,NA,0,0,5,1,25001,1.01,"2020-11-20T11:05:40Z",NA
"27","L10139322",35.7575582,-81.3212676,2023,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,3,NA,NA,0,0,3,0,25001,NA,"2023-01-09T11:33:21Z",1
"28","L10139322",35.7575582,-81.3212676,2022,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,1,1,1,3,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,NA,0,3,NA,NA,0,0,3,0,25001,NA,"2021-11-21T17:35:02Z",1
"29","L10139322",35.7575582,-81.3212676,2020,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,1,1,3,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,0,0,NA,1,0,NA,NA,0,0,3,1,25001,1.01,"2019-11-10T21:30:01Z",NA
"30","L10145240",35.407202,-80.325252,2023,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,11,11,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,2,NA,0,1,NA,NA,0,2,2,0,1,NA,"2022-11-28T13:03:33Z",1
"31","L10145240",35.407202,-80.325252,2020,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,11,11,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,NA,0,1,NA,NA,0,2,2,0,1,375.01,"2019-11-12T11:34:48Z",NA
"32","L10147903",35.9307064,-78.9228762,2020,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,1,0,NA,NA,0,0,2,0,100001,100.01,"2019-12-08T17:09:50Z",NA
"33","L10149795",35.1367598,-80.867507,2022,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,11,4,4,4,0,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,NA,NA,0,0,0,0,100001,NA,"2021-11-26T09:45:34Z",1
"34","L10149795",35.1367598,-80.867507,2020,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,11,4,4,4,0,0,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,NA,NA,0,1,1,0,100001,100.01,"2019-11-13T15:39:04Z",NA
"35","L10149795",35.1367598,-80.867507,2021,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,11,4,4,4,0,0,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,NA,NA,0,1,0,1,100001,100.01,"2020-11-29T09:02:29Z",NA
"36","L10151851",36.0863442,-79.0795576,2021,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,4,4,11,4,4,0,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,0,0,1,0,5001,375.01,"2020-12-29T10:39:02Z",NA
"37","L10151851",36.0863442,-79.0795576,2020,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,4,4,11,4,4,0,4,1,0,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,0,NA,NA,0,0,0,0,5001,375.01,"2019-11-14T09:18:08Z",NA
"38","L10152987",35.957274,-79.0618215,2022,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,11,11,1,0,1,0,1,0,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,0,0,NA,NA,0,0,1,0,25001,NA,"2021-11-29T13:32:14Z",1
"39","L10152987",35.957274,-79.0618215,2021,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,11,11,1,0,1,0,1,0,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,NA,NA,0,0,2,0,25001,375.01,"2020-11-22T13:04:53Z",NA
"40","L10152987",35.957274,-79.0618215,2020,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,11,11,1,0,1,0,1,0,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,NA,NA,0,0,2,0,25001,100.01,"2019-11-14T14:26:02Z",NA
"41","L10152987",35.957274,-79.0618215,2023,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,11,11,1,0,1,0,1,0,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,NA,NA,0,0,1,0,25001,NA,"2022-11-12T13:27:30Z",1
"42","L10154559",36.1477994,-79.9101198,2020,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,NA,NA,0,0,1,1,5001,1.01,"2019-11-14T21:52:39Z",NA
"43","L10154559",36.1477994,-79.9101198,2022,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,1,NA,NA,0,0,1,1,5001,NA,"2022-02-27T15:57:44Z",1
"44","L10155395",35.2208926,-83.3578061,2020,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,11,11,11,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,0,0,NA,NA,0,1,0,1,1,0.01,"2019-11-15T07:58:40Z",NA
"45","L10155395",35.2208926,-83.3578061,2023,0,0,0,0,0,1,NA,0,0,1,0,NA,1,1,1,0,1,0,0,1,1,11,11,11,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,NA,0,0,NA,NA,0,1,1,1,1,NA,"2023-02-12T14:30:19Z",1
"46","L10162741",34.1660616,-77.9130435,2020,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,1,0,NA,NA,0,1,0,0,100001,1.01,"2019-11-16T22:08:11Z",NA
"47","L10166274",34.2064298,-77.8339291,2020,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,11,11,11,11,0,0,0,1,1,1,1,1,1,1,3,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,NA,0,1,NA,NA,0,1,0,0,100001,1.01,"2019-11-17T13:49:23Z",NA
"48","L10166274",34.2064298,-77.8339291,2022,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,11,11,11,11,1,0,1,1,4,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,1,1,NA,NA,0,2,0,1,100001,NA,"2021-12-07T12:04:50Z",1
"49","L10166274",34.2064298,-77.8339291,2021,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,11,11,11,11,1,0,0,1,1,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,0,1,NA,NA,0,2,0,0,100001,375.01,"2020-12-02T12:21:36Z",NA
"50","L10178870",35.9115105,-78.6703888,2020,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,11,1,4,4,0,0,1,0,0,0,0,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,NA,NA,0,1,1,0,100001,100.01,"2019-11-20T21:18:01Z",NA
"51","L10178870",35.9115105,-78.6703888,2021,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,11,1,4,4,0,0,1,0,1,0,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,NA,NA,0,2,0,0,100001,1.01,"2021-02-15T19:37:02Z",NA
"52","L10185014",36.2578743,-79.049592,2021,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,4,11,4,1,4,0,1,0,1,0,0,0,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,2,0,NA,5,0,NA,NA,0,0,0,0,1,375.01,"2021-01-25T09:14:58Z",NA
"53","L10185014",36.2578743,-79.049592,2020,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,4,4,4,1,1,0,1,0,1,0,0,0,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,0,NA,4,0,NA,NA,0,0,0,0,1,375.01,"2019-11-22T19:06:18Z",NA
"54","L10193235",35.564817,-82.659874,2020,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,11,1,11,0,0,1,0,1,0,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,NA,0,2,NA,NA,0,0,3,0,25001,1.01,"2019-11-24T13:40:50Z",NA
"55","L10193235",35.564817,-82.659874,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"2023-05-01T11:34:58Z",1
"56","L10194576",35.3536609,-80.1810682,2022,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11,11,4,0,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,1,0,NA,NA,0,0,7,1,5001,NA,"2022-02-22T19:12:44Z",1
"57","L10194576",35.3536609,-80.1810682,2020,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11,11,4,0,1,0,0,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,1,0,NA,NA,0,0,7,1,5001,1.01,"2019-11-24T17:28:20Z",NA
"58","L10194576",35.3536609,-80.1810682,2021,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,11,11,4,0,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,1,0,NA,NA,0,0,7,1,5001,100.01,"2020-12-01T20:49:13Z",NA
"59","L10202571",35.132844,-82.681676,2021,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,11,11,11,11,0,11,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,2,1,NA,NA,0,1,4,1,1,375.01,"2020-11-29T17:15:23Z",NA
"60","L10202571",35.132844,-82.681676,2022,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,11,11,11,11,0,11,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,0,1,NA,NA,0,1,1,0,1,NA,"2021-11-22T14:25:47Z",1
"61","L10202571",35.132844,-82.681676,2020,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,11,11,11,11,0,11,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,2,1,NA,NA,0,1,2,1,1,375.01,"2019-11-26T18:02:27Z",NA
"62","L10202571",35.132844,-82.681676,2023,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,11,11,11,11,0,11,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,0,1,NA,NA,0,1,1,0,1,NA,"2022-11-06T20:16:55Z",1
"63","L10217516",35.1858221,-79.4763336,2020,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,11,11,4,4,1,1,0,0,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,5001,100.01,"2019-11-30T09:46:42Z",NA
"64","L1021975",34.9591472,-79.0564155,2016,0,0,1,1,0,1,1,1,0,NA,1,0,1,0,1,0,0,1,1,11,11,4,11,4,0,1,0,1,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,7,1,NA,2,1,NA,NA,0,0,9,2,1,100.01,"2015-11-23T08:24:08Z",NA
"65","L1021975",34.9591472,-79.0564155,2011,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,11,11,11,11,11,0,1,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,2,NA,1,5,NA,NA,NA,NA,6,NA,1,100.01,"2011-09-03T06:47:27Z",NA
"66","L1021975",34.9591472,-79.0564155,2015,0,0,1,1,0,0,1,1,0,NA,1,0,1,0,1,0,1,1,0,11,11,11,11,4,0,1,1,1,0,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,10,1,NA,2,1,NA,NA,1,1,8,0,1,100.01,"2014-11-15T16:20:50Z",NA
"67","L1021975",34.9591472,-79.0564155,2021,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,11,11,11,11,4,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,NA,3,1,NA,NA,0,2,5,2,1,100.01,"2021-02-08T10:39:59Z",NA
"68","L1021975",34.9591472,-79.0564155,2014,0,0,1,1,0,0,0,1,0,NA,1,0,1,0,1,0,0,1,0,11,1,11,11,4,0,1,1,1,0,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,9,1,NA,2,2,NA,NA,1,0,8,2,1,100.01,"2014-04-06T21:26:48Z",NA
"69","L1021975",34.9591472,-79.0564155,2013,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,11,NA,11,11,4,NA,1,NA,1,0,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,10,1,NA,2,2,NA,NA,NA,NA,8,NA,1,100.01,"2012-12-24T09:54:38Z",NA
"70","L1021975",34.9591472,-79.0564155,2019,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,11,11,4,11,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,NA,4,1,NA,NA,0,NA,9,2,1,100.01,"2018-12-10T08:19:57Z",NA
"71","L1021975",34.9591472,-79.0564155,2022,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,11,11,11,11,4,0,1,1,1,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,NA,4,1,NA,NA,0,1,5,0,1,NA,"2021-11-22T07:40:29Z",1
"72","L1021975",34.9591472,-79.0564155,2012,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,11,11,4,4,1,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,6,1,NA,2,1,NA,NA,NA,NA,3,NA,1,100.01,"2012-03-11T21:57:06Z",NA
"73","L1021975",34.9591472,-79.0564155,2018,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,11,11,4,11,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,NA,3,1,NA,NA,0,0,9,2,1,100.01,"2017-12-31T22:15:57Z",NA
"74","L10222259",35.8833762,-79.1040894,2020,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,NA,NA,1,0,1,1,3,1,NA,0,0,NA,NA,0,0,2,0,25001,1.01,"2019-12-01T09:48:18Z",NA
"75","L10222259",35.8833762,-79.1040894,2021,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,4,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,0,0,NA,NA,0,0,2,0,25001,1.01,"2020-11-15T18:13:21Z",NA
"76","L10222259",35.8833762,-79.1040894,2022,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,4,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,3,1,NA,0,0,NA,NA,0,0,2,0,25001,NA,"2021-11-16T07:45:37Z",1
